Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
232, 772,     771.823,       5.025,    1200.350,   2.452E-02,   2.769E-02,   6.767E-03,   2.764E-22
233, 773,     773.074,       5.059,    1197.654,   2.436E-02,   2.769E-02,   7.035E-03,   2.723E-22
234, 774,     774.338,       5.011,    1195.419,   2.420E-02,   2.769E-02,   7.369E-03,   2.949E-22
235, 777,     776.832,       4.997,    1190.963,   2.389E-02,   2.769E-02,   8.069E-03,   3.684E-22
236, 779,     779.336,       5.019,    1186.327,   2.358E-02,   2.768E-02,   8.375E-03,   4.135E-22
237, 782,     781.843,       5.025,    1181.217,   2.328E-02,   2.768E-02,   7.962E-03,   4.360E-22
238, 784,     784.350,       5.024,    1176.305,   2.298E-02,   2.768E-02,   7.054E-03,   4.866E-22
239, 787,     786.855,       5.015,    1172.332,   2.269E-02,   2.767E-02,   6.138E-03,   6.189E-22
240, 789,     789.367,       5.025,    1164.451,   2.240E-02,   2.767E-02,   5.442E-03,   8.417E-22
241, 792,     791.865,       5.012,    1145.873,   2.212E-02,   2.766E-02,   4.901E-03,   7.864E-22
242, 794,     794.382,       5.028,    1133.534,   2.184E-02,   2.766E-02,   4.449E-03,   4.477E-22
243, 797,     796.881,       5.016,    1136.775,   2.157E-02,   2.766E-02,   4.130E-03,   2.896E-22
244, 799,     799.394,       5.052,    1134.559,   2.130E-02,   2.765E-02,   3.943E-03,   3.150E-22
245, 802,     801.901,       5.015,    1125.431,   2.104E-02,   2.765E-02,   3.847E-03,   3.324E-22
246, 804,     804.409,       5.028,    1117.137,   2.078E-02,   2.765E-02,   3.891E-03,   2.311E-22
247, 807,     806.913,       5.034,    1108.494,   2.052E-02,   2.764E-02,   4.170E-03,   1.138E-22
248, 809,     809.428,       5.036,    1102.336,   2.027E-02,   2.764E-02,   4.692E-03,   9.679E-23
249, 812,     811.932,       5.004,    1101.702,   2.003E-02,   2.764E-02,   5.313E-03,   1.269E-22
